pair_id,mention_a,mention_b,surface_a,surface_b,kind_a,kind_b,domain_a,domain_b,passage_a,passage_b,f_name_sim,f_part_sim,f_same_domain,f_emb_cos,f_temporal,theta_cold,bucket,run_db,label
04963d8486bef18d,066f617b6c538538:post_money:80880c35:A,066f617b6c538538:post_money:a04dded1:A,Uber,Uber,funding_round/series_f,funding_round/unknown,app.dealroom.co,app.dealroom.co,$1.0b Valuation: $50.0b 100.9x EV/Revenue | Series F,$2.1b Valuation: $62.5b 126.2x EV/Revenue | Growth Equity VC,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,easy_pos,data/runs/cal_uber_01.sqlite,0
4325de1e981def11,066f617b6c538538:post_money:80880c35:A,066f617b6c538538:post_money:e8e113c2:A,Uber,Uber,funding_round/series_f,funding_round/unknown,app.dealroom.co,app.dealroom.co,$1.0b Valuation: $50.0b 100.9x EV/Revenue | Series F,$500m Valuation: $78.8b 5.6x EV/Revenue -10.0x EV/EBITDA | Late VC,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,easy_pos,data/runs/cal_uber_01.sqlite,0
b9fe75f79aa39211,066f617b6c538538:post_money:80880c35:A,066f617b6c538538:post_money:f1ec4aca:A,Uber,Uber,funding_round/series_f,funding_round/series_e,app.dealroom.co,app.dealroom.co,$1.0b Valuation: $50.0b 100.9x EV/Revenue | Series F,$1.0b Valuation: $40.0b 80.8x EV/Revenue | Series E,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,easy_pos,data/runs/cal_uber_01.sqlite,0
5c48767cc87bda5f,066f617b6c538538:post_money:b0442cd3:A,066f617b6c538538:post_money:e8e113c2:A,Uber,Uber,funding_round/unknown,funding_round/unknown,app.dealroom.co,app.dealroom.co,$500m Valuation: $72.0b 6.9x EV/Revenue 30.2x EV/EBITDA | Late VC,$500m Valuation: $78.8b 5.6x EV/Revenue -10.0x EV/EBITDA | Late VC,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,easy_pos,data/runs/cal_uber_01.sqlite,0
d5e1f68de57a160a,3786ee5a1a2d35c0:amount:3e2a8e64:A,3786ee5a1a2d35c0:amount:8467c681:A,Uber,Uber,funding_round/seed,funding_round/unknown,www.businessinsider.com,www.businessinsider.com,Uber raised a $1.57 million seed funding round,"its most recent round, a $1.25 billion Series G1 led by SoftBank",1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,easy_pos,data/runs/cal_uber_01.sqlite,0
1bb024ae65156ade,3786ee5a1a2d35c0:amount:3e2a8e64:A,c1654b43f9299ff7:post_money:3ca20954:A,Uber,Uber,funding_round/seed,funding_round/series_g,www.businessinsider.com,techcrunch.com,Uber raised a $1.57 million seed funding round,could value the company has high as $64.6 billion if all the shares are issued,1.000000,1.000000,0.000000,1.000000,0.540456,0.854046,easy_pos,data/runs/cal_uber_01.sqlite,0
592a9b89f1364712,3786ee5a1a2d35c0:amount:3e2a8e64:A,c1654b43f9299ff7:shares_issued:d2dc67dd:A,Uber,Uber,funding_round/seed,funding_round/series_g,www.businessinsider.com,techcrunch.com,Uber raised a $1.57 million seed funding round,"there are 43,057,291 shares of preferred Series G stock being issued",1.000000,1.000000,0.000000,1.000000,0.540456,0.854046,easy_pos,data/runs/cal_uber_01.sqlite,0
42b4227c09f4a6cf,3786ee5a1a2d35c0:post_money:eefda238:A,753c3ba0aa465426:post_money:83588cbf:A,Uber,Uber,funding_round/unknown,funding_round/unknown,www.businessinsider.com,www.theguardian.com,Investors in its most recent round ... bought their shares at a $68.33 billion valuation.,...reportedly invested $3m in a 2011 funding round that valued the company at $346.5m.,1.000000,1.000000,0.000000,1.000000,0.931245,0.893125,easy_pos,data/runs/cal_uber_01.sqlite,0
0d7280e10479e7a0,3786ee5a1a2d35c0:post_money:eefda238:A,8c1dd5ba21d56491:post_money:9096eae5:A,Uber,Uber,funding_round/unknown,funding_round/unknown,www.businessinsider.com,www.businessinsider.com,Investors in its most recent round ... bought their shares at a $68.33 billion valuation.,Uber is one of the most valuable private tech companies in the world with a $41 billion post-money valuation.,1.000000,1.000000,1.000000,1.000000,0.461557,0.946156,easy_pos,data/runs/cal_uber_01.sqlite,0
7c585dc5dddfb634,49fe1629234520f6:post_money:9268083a:A,7654c0c68b66dc39:investor:edd3f02b:A,Uber,Uber,funding_round/series_f,funding_round/series_c,en.wikipedia.org,techcrunch.com,raising $1 billion at a $50 billion pre-money valuation (so a $51 billion post-money valuation).,"We and Kara Swisher have both confirmed that Google Ventures is the largest investor in the round, pumping $257.79 million into the car service.",1.000000,1.000000,0.000000,1.000000,0.701125,0.870113,easy_pos,data/runs/cal_uber_01.sqlite,0
9360cb428574b289,49fe1629234520f6:post_money:9268083a:A,7654c0c68b66dc39:pre_money:bdb29a9a:A,Uber,Uber,funding_round/series_f,funding_round/series_c,en.wikipedia.org,techcrunch.com,raising $1 billion at a $50 billion pre-money valuation (so a $51 billion post-money valuation).,The round values Uber at around $3.4 billion pre-money and $3.76 billion post.,1.000000,1.000000,0.000000,1.000000,0.701125,0.870113,easy_pos,data/runs/cal_uber_01.sqlite,0
a86b018c91ca8caf,49fe1629234520f6:post_money:9268083a:A,c1654b43f9299ff7:post_money:3ca20954:A,Uber,Uber,funding_round/series_f,funding_round/series_g,en.wikipedia.org,techcrunch.com,raising $1 billion at a $50 billion pre-money valuation (so a $51 billion post-money valuation).,could value the company has high as $64.6 billion if all the shares are issued,1.000000,1.000000,0.000000,1.000000,0.903599,0.890360,easy_pos,data/runs/cal_uber_01.sqlite,0
acbb1337a99938a2,49fe1629234520f6:post_money:9268083a:A,c1654b43f9299ff7:price_per_share:2f20f3ac:A,Uber,Uber,funding_round/series_f,funding_round/series_g,en.wikipedia.org,techcrunch.com,raising $1 billion at a $50 billion pre-money valuation (so a $51 billion post-money valuation).,at $48.772228/share,1.000000,1.000000,0.000000,1.000000,0.903599,0.890360,easy_pos,data/runs/cal_uber_01.sqlite,0
22d2037c7587c9b5,753c3ba0aa465426:post_money:83588cbf:A,fa703c06cd7450fb:amount:1674ae2b:A,Uber,Uber,funding_round/unknown,funding_round/unknown,www.theguardian.com,www.cnbc.com,...reportedly invested $3m in a 2011 funding round that valued the company at $346.5m.,"The company is offering 180 million shares of common stock, which means it could raise around $8.1 billion on Friday",1.000000,1.000000,0.000000,1.000000,1.000000,0.900000,easy_pos,data/runs/cal_uber_01.sqlite,0
